Conshy BLE Database

BLE APB Information
-------------------
AP Name            AP Group     BLE MAC            BLE Cur. Bank   BLE Opp. Bank  AP Eth MAC         AP IP             Reported at           ConfigID  Status     
d0:d3:e0:c1:ff:12  ABC-OFFICES  20:4c:03:b4:d0:84  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:12  10.11.2.142:8514  2021-08-04 08:28:16   1         Current    
d0:d3:e0:c1:ff:9a  ABC-OFFICES  20:4c:03:b4:ce:2f  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:9a  10.11.2.151:8514  2021-08-04 08:27:59   1         Current    
d0:d3:e0:c1:fe:52  ABC-OFFICES  20:4c:03:b4:cc:7a  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:52  10.11.2.133:8514  2021-04-27 11:16:13   0         OutOfDate  
d0:d3:e0:c1:fc:62  ABC-OFFICES  20:4c:03:b4:cb:dc  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:62  10.11.3.183:8514  2021-07-16 09:58:23   0         OutOfDate  
d0:d3:e0:c1:ff:7a  ABC-OFFICES  20:4c:03:b4:cc:e6  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:7a  10.11.3.218:8514  2021-06-18 07:12:36   0         OutOfDate  
d0:d3:e0:c1:fe:72  default      20:4c:03:b4:cd:71  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:72  10.11.3.211:8514  2021-04-20 08:02:54   0         OutOfDate  
d0:d3:e0:c1:ff:c2  ABC-OFFICES  20:4c:03:b4:cc:88  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:c2  10.11.3.238:8514  2021-06-08 17:35:34   0         OutOfDate  
d0:d3:e0:c1:fd:72  ABC-OFFICES  20:4c:03:b4:cd:ac  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:72  10.11.2.148:8514  2021-05-21 11:47:45   0         OutOfDate  
d0:d3:e0:c1:fd:aa  ABC-OFFICES  20:4c:03:b4:cd:de  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:aa  10.11.3.225:8514  2021-08-04 08:28:31   1         Current    
d0:d3:e0:c1:fe:aa  ABC-OFFICES  20:4c:03:b4:d0:7d  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:aa  10.11.3.224:8514  2021-08-04 08:28:27   1         Current    
